Date,^NSEI,RELIANCE.NS,HDFCBANK.NS,TCS.NS,ICICIBANK.NS,INFY.NS,SBIN.NS,BAJFINANCE.NS,INDHOTEL.NS,ONGC.NS,NAUKRI.NS,INR=X,JETAIRWAYS.NS,IDEA.NS,GOLD-MMIc1.MCX,SILVER-MSDc1.MCX,IND-10Y.BOND,NIFTY.FUT
2014-03-27,6641.75,418.734894,347.167786,850.721985,202.474396,310.544525,168.851883,163.646027,64.821693,142.786728,609.000305,60.16,228.550003,82.465332,28521.0,42923.0,8.816,6641.75
2014-03-28,6695.899902,425.893951,346.330994,853.910889,202.506561,313.576813,174.821915,173.264893,65.004288,142.096497,606.354309,60.237999,233.25,83.000626,28434.0,42792.0,8.804,6728.65
2014-03-31,6704.200195,432.68103,348.12088,866.523804,200.230942,315.51828,176.269608,172.619171,66.373756,137.480713,596.202576,59.84,248.25,81.751595,28470.0,42840.0,,6739.65
2014-04-01,6721.049805,438.189819,343.146362,884.214966,196.837601,318.512268,174.059006,171.313202,65.689034,139.680786,577.679382,59.990002,244.649994,81.811073,28116.0,42620.0,8.81,6756.25
2014-04-02,6752.549805,445.441833,340.263916,882.407104,199.909302,319.290741,177.850571,168.812042,66.373756,142.355316,589.515076,59.779999,279.0,85.201286,28404.0,43171.0,8.962,6790.2
2014-04-03,6736.100098,442.861816,338.822693,880.07135,198.413681,320.838226,174.293365,168.257889,66.647652,140.73761,578.690063,59.897999,277.149994,83.357491,28460.0,43050.0,9.008,6768.45
2014-04-04,6694.350098,438.956848,337.265289,868.839539,197.88295,318.714081,174.900024,169.477097,68.610573,140.478836,585.18512,60.389999,278.149994,83.298004,28519.0,43008.0,9.065,6744.2
2014-04-07,6695.049805,438.9104,337.21875,874.912476,194.457474,316.53714,176.701614,170.392761,69.112717,140.457214,572.242798,59.669998,273.100006,87.193779,28574.0,43107.0,9.101,6736.7
2014-04-09,6796.200195,447.278168,344.88974,869.46936,202.603058,312.803162,182.455643,169.269882,68.975761,139.098389,557.472534,60.09,288.799988,86.807175,28710.0,42700.0,9.032,6835.5
2014-04-10,6796.399902,450.485718,343.750732,863.680603,200.600845,307.675537,186.412643,172.146881,68.793152,138.88269,548.42749,59.959999,302.899994,85.825806,29094.0,43510.0,9.002,6825.05
2014-04-11,6776.299805,443.373169,343.169556,879.096619,198.783539,310.938538,183.296661,169.86264,67.33239,138.041534,531.299744,60.299999,303.399994,84.963387,29085.0,43205.0,8.941,6803.55
2014-04-15,6733.100098,441.211578,336.567963,915.107483,196.113907,313.30777,180.529953,169.414459,68.930107,137.761108,538.083435,60.34,291.899994,83.327759,29342.0,42309.0,8.953,6753.95
2014-04-16,6675.299805,437.58551,337.497772,892.176819,196.612442,303.456207,180.102539,170.855377,68.154091,136.553268,536.351563,60.299999,274.5,81.900291,29290.0,42446.0,8.964,6697.3
2014-04-17,6779.399902,445.860199,334.127228,902.981995,203.093567,306.796051,185.424545,170.325287,68.017128,139.055267,549.245361,60.25,280.149994,83.327759,29293.0,42406.0,8.85,6799.95
2014-04-21,6817.649902,446.092682,333.081146,902.514954,206.173309,305.921448,190.461609,170.493927,68.017128,139.378815,556.269714,60.150002,278.399994,84.903908,29548.0,42047.0,8.862,6838.15
2014-04-22,6815.350098,449.88147,338.241608,902.230591,207.443817,302.817047,188.296951,170.12767,68.199738,140.780762,558.675293,60.48,288.950012,84.368607,29423.0,42263.0,8.854,6829.6
2014-04-23,6840.799805,449.602509,340.77533,899.265198,208.995712,304.931549,189.827393,176.064774,67.560646,140.629791,560.118713,60.757999,287.899994,82.108475,29752.0,42498.0,8.851,6840.8
2014-04-24,,449.602509,340.77533,899.265198,208.995712,304.931549,189.827393,176.064774,67.560646,140.629791,560.118713,61.009998,287.899994,82.108475,,,,6903.25
2014-04-25,6782.75,440.816315,337.707001,895.812378,204.323868,305.215027,191.670303,174.739532,67.925827,138.451324,561.947021,61.119999,281.649994,83.535919,29741.0,42628.0,8.883,6826.3
2014-04-28,6761.25,439.305573,337.149078,890.16571,205.12796,305.450592,193.595993,178.961044,66.8759,138.623856,560.166748,60.638,274.100006,83.625137,29824.0,42479.0,8.853,6820.0
2014-04-29,6715.25,437.120575,332.778961,891.343811,203.085541,305.421722,189.882538,180.479065,66.738953,138.170929,560.648071,60.643002,270.0,83.714348,29713.0,41978.0,8.828,6760.3
2014-04-30,6696.399902,435.028687,335.335907,889.292358,199.965576,305.714874,191.059082,180.223648,65.689034,140.241547,562.861145,60.417999,250.850006,80.115974,31014.0,41376.0,8.828,6726.45
2014-05-02,6694.799805,431.449097,333.383301,897.112183,201.412979,309.453644,188.264801,180.985031,64.776047,142.05336,555.403931,60.139999,243.449997,79.818588,30182.0,42580.0,8.808,6726.7
2014-05-05,6699.350098,440.165527,333.197357,899.244995,201.421021,305.340027,187.929306,181.018799,63.63483,144.684769,548.475586,60.02,239.699997,77.558449,29967.0,42644.0,8.735,6735.5
2014-05-06,6715.299805,447.835968,334.824493,893.232544,205.144043,304.210693,188.632462,181.110367,63.863068,145.461258,545.684998,60.110001,233.550003,77.736885,29109.0,42606.0,8.778,6746.7
2014-05-07,6652.549805,446.673767,332.686005,879.685303,204.347961,294.810822,190.801727,181.568161,63.954372,144.576889,520.57074,59.978001,231.899994,77.469231,28747.0,41960.0,8.802,6681.65
2014-05-08,6659.850098,446.418091,333.941254,878.263611,207.299042,294.6138,192.267776,182.064514,63.543526,144.080872,511.669983,59.889999,236.199997,78.123497,28734.0,41618.0,8.758,6680.95
2014-05-09,6858.799805,463.757904,351.840027,877.390442,221.708694,299.049438,199.759048,183.288544,63.726112,150.098587,532.502502,59.93,238.75,80.770233,28741.0,41484.0,8.746,6887.4
2014-05-12,7014.25,478.215454,368.274506,877.16687,224.941208,305.166992,206.142685,183.134338,65.369484,154.692764,528.653687,59.849998,231.899994,82.376114,28860.0,42109.0,8.727,7043.05
2014-05-13,7108.75,494.346558,366.414825,898.127747,225.278915,313.831482,209.212738,181.182648,65.962921,160.732117,546.839722,59.419998,238.350006,82.941147,28673.0,41917.0,8.784,7135.3
2014-05-14,7108.75,486.02533,360.51059,900.219849,226.661987,312.759888,209.805603,174.055237,66.693306,158.790863,554.345215,59.310001,245.699997,83.238525,28911.0,42376.0,,7141.05
2014-05-15,7123.149902,489.697845,366.507813,890.896729,224.362244,314.52359,209.502258,167.284439,67.241096,163.298767,561.177246,59.400002,243.5,83.744095,28624.0,41752.0,8.781,7143.1
